,,,,,,,,,,,,,,,,
Course,Modality,Title,CRN,Instructor,Section Start Date,Section End Date,Section Meet Schedule,Section Meet Begin Time,Section Meet End Time,Section Building Code,Room,Cross-list Group,Cross Listed Section,CalGETC Attribute,Term Length,Class Hyperlink
ECON-100-OPH,ONLINE,Principles of Macroeconomics,82137,"Shokouhbakhsh, Ali A.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/82137
ECON-100-OSH,ONLINE,Principles of Macroeconomics,99037,"Shokouhbakhsh, Ali A.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/99037
ETHN-101-AA,FACE TO FACE,Latin Amer History and Cult.,92278,"Ramirez, Rudy",8/16/2026,12/19/2026,TR,0945,1100,4-14,0102,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/92278
ETHN-101-AB,FACE TO FACE,Latin Amer History and Cult.,97958,"Ramirez, Rudy",8/16/2026,12/19/2026,TR,1110,1225,4-14,0102,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/97958
ETHN-101-HYB,HYBRID,Latin Amer History and Cult.,96929,"Mojica Villegas, Edgar R.",8/16/2026,12/19/2026,W,1110,1225,4-14,0000 & 0104,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/96929
ETHN-101-HYC,HYBRID,Latin Amer History and Cult.,98279,"Mojica Villegas, Edgar R.",8/16/2026,12/19/2026,W,0945,1100,4-14,0000 & 0104,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/98279
ETHN-101-ORH,ONLINE,Latin Amer History and Cult.,97723,"Santizo, Jackeline B.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/97723
ETHN-101-OTH,ONLINE,Latin Amer History and Cult.,91948,"Santizo, Jackeline B.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/91948
ETHN-101-OUH,ONLINE,Latin Amer History and Cult.,98174,"Santizo, Jackeline B.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/98174
ETHN-265-OLH,ONLINE,Evolution of Hip Hop Culture,99035,"Lara, Ismael R.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/99035
ETHN-265-OMH,ONLINE,Evolution of Hip Hop Culture,99036,"Lara, Ismael R.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/99036
ETHN-107-HYA,HYBRID,Intro Native American Studies,97973,"Mojica Villegas, Edgar R.",9/6/2026,12/19/2026,M,1110,1225,4-14,0000 & 0104,,,"4,6",4th Week Start Date,https://webschedule.smccd.edu/course/202608/97973
ETHN-107-HYB,HYBRID,Intro Native American Studies,98938,"Mojica Villegas, Edgar R.",9/6/2026,12/19/2026,M,0945,1100,4-14,0000 & 0104,,,4,4th Week Start Date,https://webschedule.smccd.edu/course/202608/98938
ETHN-103-HYC,HYBRID,Asian American US Institutions,94684,"Moon, Seon H.",8/16/2026,12/19/2026,W,1110,1225,4-14,0000 & 0213,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/94684
ETHN-101-JA,FACE TO FACE,Latin Amer History and Cult.,90044,"Ramirez, Rudy",8/16/2026,12/19/2026,W,1800,2050,4-14,0102,,,"4,6",Full Term,https://webschedule.smccd.edu/course/202608/90044
ETHN-103-HYA,HYBRID,Asian American US Institutions,98530,"Moon, Seon H.",8/16/2026,12/19/2026,W,0945,1100,4-TBD,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98530
ETHN-109-AA,FACE TO FACE,Borders and Crossings,98213,"Iyengar, Malathi M.",9/6/2026,12/19/2026,TR,1110,1235,4-14,0116,,,4,4th Week Start Date,https://webschedule.smccd.edu/course/202608/98213
ETHN-108-AA,FACE TO FACE,"Rethinking Race,Gender, Nation",98212,"Iyengar, Malathi M.",9/6/2026,12/19/2026,TR,0935,1100,4-14,0116,,,"4,6",4th Week Start Date,https://webschedule.smccd.edu/course/202608/98212
ETHN-300-HYA,HYBRID,Introduction to LaRaza Studies,85304,"Mojica Villegas, Edgar R.",9/6/2026,12/19/2026,T,1110,1225,4-14,0000 & 0104,,,4,4th Week Start Date,https://webschedule.smccd.edu/course/202608/85304
ETHN-265-BB,FACE TO FACE,Evolution of Hip Hop Culture,99005,"Lara, Ismael R.",8/16/2026,12/19/2026,MW,1110,1225,4-14,0102,,,,Full Term,https://webschedule.smccd.edu/course/202608/99005
ETHN-101-OVH,ONLINE,Latin Amer History and Cult.,98261,"Staff, CSM Creative Arts & Soc",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,"4,6",9th Week Start Date,https://webschedule.smccd.edu/course/202608/98261
ETHN-105-AD,FACE TO FACE,African American Hist/Culture,94688,"Gaines, Freddie L.",8/16/2026,12/19/2026,TR,1110,1225,4-14,0218,EM,"ETHN-105-AD, ","4,6",Full Term,https://webschedule.smccd.edu/course/202608/94688
ETHN-265-AA,FACE TO FACE,Evolution of Hip Hop Culture,95887,"Gaines, Freddie L.",8/16/2026,12/19/2026,TR,0945,1100,4-14,0218,,,,Full Term,https://webschedule.smccd.edu/course/202608/95887
ETHN-288-AA,FACE TO FACE,African-American Cinema,82380,"Gaines, Freddie L.",8/16/2026,12/19/2026,MW,1110,1225,4-TBD,UNKN,EN,"ETHN-288-AA, ",,Full Term,https://webschedule.smccd.edu/course/202608/82380
GEOG-100-OLH,ONLINE,Physical Geography,96590,"Kaluzny, Margaret A.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/96590
GEOG-110-OLH,ONLINE,Cultural Geography,96914,"Kaluzny, Margaret A.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/96914
GBST-101-HYA,HYBRID,Introduction to Global Studies,98224,"Ball, Jeremy C.",10/11/2026,12/19/2026,W,1245,1415,4-18,0000 & 0306,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98224
HIST-202-OLH,ONLINE,U.S. History Since 1865,92879,"Hunt, Judith L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/92879
HIST-106-OLH,ONLINE,World History II: from 1500,97548,"Hunt, Judith L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/97548
HIST-202-HYG,HYBRID,U.S. History Since 1865,82492,"Hunt, Judith L.",8/16/2026,12/19/2026,R,0945,1100,4-10,0000 & 0194,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/82492
HIST-201-HYD,HYBRID,U.S. History to 1877,82487,"Hunt, Judith L.",8/16/2026,12/19/2026,W,1110,1225,4-10,0000 & 0194,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/82487
HIST-201-HYB,HYBRID,U.S. History to 1877,96918,"Hunt, Judith L.",8/16/2026,12/19/2026,W,0945,1100,4-10,0000 & 0194,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/96918
HIST-201-HYA,HYBRID,U.S. History to 1877,82486,"Irwin, Tatiana M.",8/16/2026,12/19/2026,T,0945,1100,4-14,0000 & 0214,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/82486
HIST-261-HYA,HYBRID,Women in American History I,97726,"Irwin, Tatiana M.",8/16/2026,12/19/2026,W,1110,1225,4-14,0000 & 0214,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/97726
HIST-201-HYF,HYBRID,U.S. History to 1877,98508,"Irwin, Tatiana M.",8/16/2026,12/19/2026,T,1110,1225,4-14,0000 & 0214,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/98508
HIST-201-HYG,HYBRID,U.S. History to 1877,97913,"Irwin, Tatiana M.",8/16/2026,12/19/2026,W,1245,1400,4-14,0000 & 0214,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/97913
HIST-201-HYC,HYBRID,U.S. History to 1877,95157,"Irwin, Tatiana M.",8/16/2026,12/19/2026,T,1245,1400,4-14,0000 & 0214,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/95157
MUS.-100-ONH,ONLINE,Fundamentals of Music,82731,"Roper, Richard S.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/82731
MUS.-131-BA,FACE TO FACE,Harmony I,82738,"Jackson, Jane M.",8/16/2026,12/19/2026,TR,1110,1225,4-02,0250,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/82738
MUS.-100-OPH,ONLINE,Fundamentals of Music,82732,"Roper, Richard S.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/82732
MUS.-111-AA,FACE TO FACE,Musicianship I,95544,"Thanos, Alexa K.",8/16/2026,12/19/2026,TR,1245,1400,4-02,0250,,,,Full Term,https://webschedule.smccd.edu/course/202608/95544
MUS.-289-AX,FACE TO FACE,Recording for Musical Apps,97533,"Otte, Adria A.",8/16/2026,12/19/2026,T,1410,1540,4-10,0160 & 0161,CO,"MUS.-289-AX, MUS.-389-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97533
MUS.-202-OMH,ONLINE,Music Appreciation,97199,"Hoffmann, Shulamit",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/97199
MUS.-302-AX,FACE TO FACE,Piano II,94137,"Moeller, Michelle A.",8/16/2026,12/19/2026,W,1410,1525,4-02,0240,EJ,"MUS.-303-AX, MUS.-304-AX, MUS.-302-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94137
MUS.-290-AA,FACE TO FACE,Electronic Music I,93413,"Otte, Adria A.",8/16/2026,12/19/2026,M,1410,1605,4-10,0160 & 0161,,,,Full Term,https://webschedule.smccd.edu/course/202608/93413
MUS.-423-JB,FACE TO FACE,Small Ensemble-Instru./vocal,98098,"Dronkers, Marcelle A.",8/16/2026,12/19/2026,W,1800,1850,4-02,0110,,,,Full Term,https://webschedule.smccd.edu/course/202608/98098
MUS.-884-A1,FACE TO FACE,Review of Fundamentals,98274,"Jackson, Jane M.",8/24/2026,9/21/2026,M,1345,1545,4-02,0250,,,,2nd Week Start Date,https://webschedule.smccd.edu/course/202608/98274
MUS.-286-YJH,ONLINE,Music Business,97234,"Carty, Montserrat A.",8/16/2026,12/19/2026,R,1800,2050,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/97234
MUS.-301-AA,FACE TO FACE,Piano I,82746,"Jackson, Jane M.",8/16/2026,12/19/2026,T,0945,1100,4-02,0240,,,,Full Term,https://webschedule.smccd.edu/course/202608/82746
MUS.-430-JX,FACE TO FACE,Symphonic Band,90418,"Gallagher, Kevin S.",8/16/2026,12/19/2026,T,1900,2150,4-02,0150,DD,"MUS.-430-JX, MUS.-429-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/90418
MUS.-290-HYA,HYBRID,Electronic Music I,84111,"Do, Lien B.",8/16/2026,12/19/2026,T,1110,1240,4-ONLN,0000 & 0160,,,,Full Term,https://webschedule.smccd.edu/course/202608/84111
MUS.-317-JA,FACE TO FACE,Piano Lit&Perform-20th c&Beynd,98273,"Rodriguez-Marquez, Mauricio E.",8/16/2026,12/19/2026,R,1600,1715,4-02,0110,,,,Full Term,https://webschedule.smccd.edu/course/202608/98273
MUS.-292-HAX,HYBRID,Sound Creation: Sampl & Synth,86158,"Bobrowski, Christine M.",8/16/2026,12/19/2026,M,1025,1220,4-ONLN,0000 & 0160,DS,"MUS.-292-HAX, MUS.-296-HAX, MUS.-297-HAX, ",,Full Term,https://webschedule.smccd.edu/course/202608/86158
MUS.-401-JA,FACE TO FACE,Voice I,83786,"Dronkers, Marcelle A.",8/16/2026,12/19/2026,M,1900,2020,4-02,0110,,,,Full Term,https://webschedule.smccd.edu/course/202608/83786
MUS.-401-JX,FACE TO FACE,Voice I,98727,"Dronkers, Marcelle A.",8/16/2026,12/19/2026,T,1900,2010,4-02,0110,CR,"MUS.-401-JX, MUS.-402-JX, MUS.-403-JX, MUS.-404-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98727
MUS.-100-AD,FACE TO FACE,Fundamentals of Music,93239,"Rodriguez-Marquez, Mauricio E.",8/16/2026,12/19/2026,MW,1245,1400,4-02,0110,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/93239
MUS.-133-BA,FACE TO FACE,Harmony III,82740,"Jackson, Jane M.",8/16/2026,12/19/2026,MW,0910,1025,4-02,0250,,,,Full Term,https://webschedule.smccd.edu/course/202608/82740
MUS.-210-OLH,ONLINE,From Blues to Hip Hop,96079,"Rugani, Jessica M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/96079
MUS.-250-OLH,ONLINE,World Music,91510,"Otte, Adria A.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/91510
MUS.-113-AA,FACE TO FACE,Musicianship III,95545,"Rodriguez-Marquez, Mauricio E.",8/16/2026,12/19/2026,MW,1035,1155,4-02,0250,,,,Full Term,https://webschedule.smccd.edu/course/202608/95545
MUS.-301-AB,FACE TO FACE,Piano I,98964,"Jackson, Jane M.",8/16/2026,12/19/2026,T,1545,1700,4-02,0240 & 240,,,,Full Term,https://webschedule.smccd.edu/course/202608/98964
MUS.-371-JX,FACE TO FACE,Guitar I,83144,"Psarras, Paul T.",8/16/2026,12/19/2026,R,1800,1915,4-02,0150,CP,"MUS.-371-JX, MUS.-372-JX, MUS.-373-JX, MUS.-374-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/83144
MUS.-501-AX,FACE TO FACE,Studio Lessons I(Appl. Mus. I),94694,"Otte, Adria A.",8/16/2026,12/19/2026,M,1240,1330,4-02,0150,DV,"MUS.-501-AX, MUS.-502-AX, MUS.-503-AX, MUS.-504-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94694
MUS.-100-ORH,ONLINE,Fundamentals of Music,98146,"Bobrowski, Christine M.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98146
MUS.-424-AX,FACE TO FACE,Small Jazz Ensembles,97770,"Mitchell, Michael I.",8/16/2026,12/19/2026,T,1345,1435,4-02,0110 & 0150,DI,"MUS.-425-AX, MUS.-424-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97770
MUS.-429-JX,FACE TO FACE,Wind Ensemble,93414,"Gallagher, Kevin S.",8/16/2026,12/19/2026,T,1900,2150,4-02,0150,DD,"MUS.-430-JX, MUS.-429-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/93414
MUS.-303-AX,FACE TO FACE,Piano III,82750,"Moeller, Michelle A.",8/16/2026,12/19/2026,W,1410,1525,4-02,0240,EJ,"MUS.-303-AX, MUS.-304-AX, MUS.-302-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/82750
MUS.-452-JX,FACE TO FACE,Repertory Jazz Band,95578,"Mitchell, Michael I.",8/16/2026,12/19/2026,M,1700,2005,4-02,0150,DZ,"MUS.-454-JX, MUS.-452-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95578
MUS.-502-AX,FACE TO FACE,Studio Lessons II(Appl.Mus II),94695,"Otte, Adria A.",8/16/2026,12/19/2026,M,1240,1330,4-02,0150,DV,"MUS.-501-AX, MUS.-502-AX, MUS.-503-AX, MUS.-504-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94695
MUS.-250-OMH,ONLINE,World Music,97080,"Otte, Adria A.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,9th Week Start Date,https://webschedule.smccd.edu/course/202608/97080
MUS.-372-JX,FACE TO FACE,Guitar II,83201,"Psarras, Paul T.",8/16/2026,12/19/2026,R,1800,1915,4-02,0150,CP,"MUS.-371-JX, MUS.-372-JX, MUS.-373-JX, MUS.-374-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/83201
MUS.-402-JX,FACE TO FACE,Voice II,83204,"Dronkers, Marcelle A.",8/16/2026,12/19/2026,T,1900,2010,4-02,0110,CR,"MUS.-401-JX, MUS.-402-JX, MUS.-403-JX, MUS.-404-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/83204
MUS.-454-JX,FACE TO FACE,Jazz Workshop Big Band,95553,"Mitchell, Michael I.",8/16/2026,12/19/2026,M,1700,2005,4-02,0150,DZ,"MUS.-454-JX, MUS.-452-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95553
MUS.-304-AX,FACE TO FACE,Piano IV,82751,"Moeller, Michelle A.",8/16/2026,12/19/2026,W,1410,1525,4-02,0240,EJ,"MUS.-303-AX, MUS.-304-AX, MUS.-302-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/82751
MUS.-389-AX,FACE TO FACE,Recording for Musical Apps. II,98269,"Otte, Adria A.",8/16/2026,12/19/2026,T,1410,1540,4-10,0161,CO,"MUS.-289-AX, MUS.-389-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98269
MUS.-403-JX,FACE TO FACE,Voice III,83208,"Dronkers, Marcelle A.",8/16/2026,12/19/2026,T,1900,2010,4-02,0110,CR,"MUS.-401-JX, MUS.-402-JX, MUS.-403-JX, MUS.-404-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/83208
MUS.-425-AX,FACE TO FACE,Contemporary Jazz Combo,93264,"Mitchell, Michael I.",8/16/2026,12/19/2026,T,1345,1435,4-02,0110 & 0150,DI,"MUS.-425-AX, MUS.-424-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/93264
MUS.-503-AX,FACE TO FACE,Studio Lessons III(Appl.MusIII,94696,"Otte, Adria A.",8/16/2026,12/19/2026,M,1240,1330,4-02,0150,DV,"MUS.-501-AX, MUS.-502-AX, MUS.-503-AX, MUS.-504-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94696
MUS.-100-OVH,ONLINE,Fundamentals of Music,82733,"Bobrowski, Christine M.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,9th Week Start Date,https://webschedule.smccd.edu/course/202608/82733
MUS.-202-OUH,ONLINE,Music Appreciation,96078,"Hoffmann, Shulamit",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,9th Week Start Date,https://webschedule.smccd.edu/course/202608/96078
MUS.-373-JX,FACE TO FACE,Guitar III,83901,"Psarras, Paul T.",8/16/2026,12/19/2026,R,1800,1915,4-02,0150,CP,"MUS.-371-JX, MUS.-372-JX, MUS.-373-JX, MUS.-374-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/83901
MUS.-404-JX,FACE TO FACE,Voice IV,84167,"Dronkers, Marcelle A.",8/16/2026,12/19/2026,T,1900,2010,4-02,0110,CR,"MUS.-401-JX, MUS.-402-JX, MUS.-403-JX, MUS.-404-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/84167
MUS.-504-AX,FACE TO FACE,Studio Lessons IV(Appl.Mus.IV),94697,"Otte, Adria A.",8/16/2026,12/19/2026,M,1240,1330,4-02,0150,DV,"MUS.-501-AX, MUS.-502-AX, MUS.-503-AX, MUS.-504-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94697
MUS.-296-HAX,HYBRID,Elec. Music Comp. Portfolio I,96170,"Bobrowski, Christine M.",8/16/2026,12/19/2026,M,1025,1220,4-ONLN,0000 & 0160,DS,"MUS.-292-HAX, MUS.-296-HAX, MUS.-297-HAX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96170
MUS.-297-HAX,HYBRID,Elec. Music Comp. Portfolio II,96605,"Bobrowski, Christine M.",8/16/2026,12/19/2026,M,1025,1220,4-ONLN,0000 & 0160,DS,"MUS.-292-HAX, MUS.-296-HAX, MUS.-297-HAX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96605
MUS.-374-JX,FACE TO FACE,Guitar IV,83952,"Psarras, Paul T.",8/16/2026,12/19/2026,R,1800,1915,4-02,0150,CP,"MUS.-371-JX, MUS.-372-JX, MUS.-373-JX, MUS.-374-JX, ",,Full Term,https://webschedule.smccd.edu/course/202608/83952
PHIL-100-OPH,ONLINE,Introduction to Philosophy,93257,"Ball, Jeremy C.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/93257
PHIL-100-BB,FACE TO FACE,Introduction to Philosophy,95504,"Ball, Jeremy C.",8/16/2026,12/19/2026,TR,0945,1100,4-18,0306,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/95504
PHIL-100-AA,FACE TO FACE,Introduction to Philosophy,82785,"Ball, Jeremy C.",8/16/2026,12/19/2026,MW,1110,1225,4-18,0306,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/82785
PHIL-244-HYA,HYBRID,Intro Ethics:Soci/Moral Issues,84725,"Ball, Jeremy C.",8/16/2026,12/19/2026,R,1110,1225,4-18,0000 & 0306,,,3B,Full Term,https://webschedule.smccd.edu/course/202608/84725
PHIL-200-ZXH,ONLINE,Introduction to Logic,97532,"Ball, Jeremy C.",8/16/2026,12/19/2026,T,1110,1225,4-18,0000 & 0306,EK,"PHIL-200-HXA, PHIL-200-ZXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/97532
PHIL-200-HXA,HYBRID,Introduction to Logic,96077,"Ball, Jeremy C.",8/16/2026,12/19/2026,T,1110,1225,4-18,0000 & 0306,EK,"PHIL-200-HXA, PHIL-200-ZXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/96077
POLS-110-OLH,ONLINE,Intro Comp Gov and Politics,98949,"Miller, Lee R.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98949
POLS-150-OLH,ONLINE,Intro to Political Theory,98654,"Miller, Lee R.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98654
POLS-C1000-OMH,ONLINE,American Government & Politics,98681,"Miller, Lee R.",8/30/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,3rd Week Start Date,https://webschedule.smccd.edu/course/202608/98681
POLS-210-OLH,ONLINE,American Politics,98655,"Miller, Lee R.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98655
POLS-100-HYA,HYBRID,Intro. to Political Science,98652,"Noori, Azatullah",10/11/2026,12/19/2026,W,0945,1100,4-16,0000 & 0209,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98652
POLS-210-HYA,HYBRID,American Politics,98948,"Miller, Lee R.",8/16/2026,12/19/2026,T,0945,1100,4-16,0000 & 0209,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98948
PSYC-100-OLH,ONLINE,Introduction to Psychology,93462,"Avera, Joshua W.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/93462
PSYC-100-OTH,ONLINE,Introduction to Psychology,82844,"Trafalis, Sandra",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/82844
PSYC-100-OVH,ONLINE,Introduction to Psychology,98178,"Trafalis, Sandra",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98178
PSYC-310-OLH,ONLINE,Positive Psychology,96306,"Robins, Shani",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/96306
PSYC-120-OLH,ONLINE,Intro to Research Methods,97966,"Basil, Trevor W.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/97966
PSYC-100-HYC,HYBRID,Introduction to Psychology,92366,"Clifford Jr, James O.",8/16/2026,12/19/2026,M,1110,1225,4-10,0000 & 0194,,,4,Full Term,https://webschedule.smccd.edu/course/202608/92366
PSYC-300-OMH,ONLINE,Social Psychology,84153,"Firpo, Catherine M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/84153
PSYC-320-OLH,ONLINE,Psyc Wellness:Mind-Body Connec,96169,"Robins, Shani",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/96169
PSYC-121-OLH,ONLINE,Basic Statistical Concepts,96541,"Rose, Murielle T.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/96541
PSYC-330-AA,FACE TO FACE,Sports Psychology,96920,"Warner, Michelle K.",8/16/2026,12/19/2026,TR,0945,1100,4-10,0193,,,4,Full Term,https://webschedule.smccd.edu/course/202608/96920
PSYC-220-OLH,ONLINE,Introduction to Psychobiology,87117,"Clifford Jr, James O.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,"4,5B",Full Term,https://webschedule.smccd.edu/course/202608/87117
PSYC-330-HYA,HYBRID,Sports Psychology,98264,"Warner, Michelle K.",8/16/2026,12/19/2026,MW,1110,1200,4-10,0000 & 0193,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98264
PSYC-120-OTH,ONLINE,Intro to Research Methods,96168,"Clifford Jr, James O.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/96168
PSYC-100-HYB,HYBRID,Introduction to Psychology,82836,"Clifford Jr, James O.",8/16/2026,12/19/2026,M,0945,1100,4-10,0000 & 0194,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82836
PSYC-200-HYA,HYBRID,Developmental Psychology,96609,"Mullane, Michelle A.",8/30/2026,12/19/2026,T,1110,1235,4-10,0000 & 0193,,,4,3rd Week Start Date,https://webschedule.smccd.edu/course/202608/96609
PSYC-100-HYA,HYBRID,Introduction to Psychology,82845,"Clifford Jr, James O.",8/16/2026,12/19/2026,M,0810,0925,4-TBD,0000 & UNKN,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82845
PSYC-100-OMH,ONLINE,Introduction to Psychology,95976,"Avera, Joshua W.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/95976
PSYC-121-HYA,HYBRID,Basic Statistical Concepts,98265,"Bera, Stephan J.",8/16/2026,12/19/2026,W,0945,1100,4-TBD,0000 & UNKN,,,,Full Term,https://webschedule.smccd.edu/course/202608/98265
PSYC-100-YBH,ONLINE,Introduction to Psychology,83484,"Avera, Joshua W.",8/16/2026,12/19/2026,TR,1110,1225,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/83484
PSYC-410-OLH,ONLINE,Abnormal Psychology,93812,"Mullane, Michelle A.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/93812
